2026-06-05 20:29:32 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2507.09193: HTTP 404 (work not indexed yet?)
2026-06-05 20:29:36 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2410.16362: HTTP 404 (work not indexed yet?)
2026-06-05 20:30:05 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2504.20391: HTTP 404 (work not indexed yet?)
2026-06-05 20:30:11 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2412.08003: HTTP 404 (work not indexed yet?)
2026-06-05 20:30:21 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.1109/tit.2026.3680284: HTTP 404 (work not indexed yet?)
2026-06-05 20:30:25 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2509.15013: HTTP 404 (work not indexed yet?)
2026-06-05 20:30:26 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2505.11025: HTTP 404 (work not indexed yet?)
2026-06-05 20:30:28 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2606.05454: HTTP 404 (work not indexed yet?)
2026-06-05 20:30:30 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2407.13728: HTTP 404 (work not indexed yet?)
2026-06-05 20:31:26 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2511.19943: HTTP 404 (work not indexed yet?)
2026-06-05 20:31:27 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2509.13661: HTTP 404 (work not indexed yet?)
2026-06-05 20:31:48 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2501.10712: HTTP 404 (work not indexed yet?)
2026-06-05 20:31:49 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2408.15202: HTTP 404 (work not indexed yet?)
2026-06-05 20:31:50 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2501.11855: HTTP 404 (work not indexed yet?)
2026-06-05 20:32:05 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2501.01692: HTTP 404 (work not indexed yet?)
2026-06-05 20:32:19 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2504.00710: HTTP 404 (work not indexed yet?)
2026-06-05 20:32:47 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2501.13354: HTTP 404 (work not indexed yet?)
2026-06-05 20:33:13 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2507.01573: HTTP 404 (work not indexed yet?)
2026-06-05 20:33:21 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2304.09479: HTTP 404 (work not indexed yet?)
2026-06-05 20:33:24 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2507.04060: HTTP 404 (work not indexed yet?)
2026-06-05 20:33:42 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2410.15155: HTTP 404 (work not indexed yet?)
2026-06-05 20:33:49 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2502.11984: HTTP 404 (work not indexed yet?)
2026-06-05 20:33:51 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2509.12142: HTTP 404 (work not indexed yet?)
2026-06-05 20:33:59 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2309.17193: HTTP 404 (work not indexed yet?)
2026-06-05 20:34:24 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2505.05188: HTTP 404 (work not indexed yet?)
2026-06-05 20:34:27 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2409.02327: HTTP 404 (work not indexed yet?)
2026-06-05 20:34:29 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2505.02636: HTTP 404 (work not indexed yet?)
2026-06-05 20:34:35 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2506.10374: HTTP 404 (work not indexed yet?)
2026-06-05 20:34:38 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2312.07397: HTTP 404 (work not indexed yet?)
2026-06-05 20:34:39 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2501.00677: HTTP 404 (work not indexed yet?)
2026-06-05 20:34:42 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2505.15202: HTTP 404 (work not indexed yet?)
2026-06-05 20:34:43 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2506.12218: HTTP 404 (work not indexed yet?)
2026-06-05 20:34:47 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2508.12901: HTTP 404 (work not indexed yet?)
2026-06-05 20:34:50 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2504.04267: HTTP 404 (work not indexed yet?)
2026-06-05 20:34:52 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2505.06123: HTTP 404 (work not indexed yet?)
2026-06-05 20:34:55 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2507.18147: HTTP 404 (work not indexed yet?)
2026-06-05 20:34:56 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2402.09456: HTTP 404 (work not indexed yet?)
2026-06-05 20:34:58 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2506.22004: HTTP 404 (work not indexed yet?)
2026-06-05 20:35:00 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2509.08425: HTTP 404 (work not indexed yet?)
2026-06-05 20:35:22 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2510.08364: HTTP 404 (work not indexed yet?)
2026-06-05 20:35:25 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2505.13710: HTTP 404 (work not indexed yet?)
2026-06-05 20:35:28 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2501.12447: HTTP 404 (work not indexed yet?)
2026-06-05 20:35:29 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2507.09193: HTTP 404 (work not indexed yet?)
2026-06-05 20:35:31 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2410.16362: HTTP 404 (work not indexed yet?)
