2026-05-23 22:01:58 INFO research_news.journals: journals run: groups=['core', 'prob_stats', 'applied', 'econ', 'astro', 'epi', 'ieee'], only=['astro']
2026-05-23 22:42:35 INFO research_news.llm.pipeline: scoring batch 85/89 (8 papers) ...
2026-05-23 22:42:48 INFO research_news.llm.pipeline: score batch 85: parsed 8 scores
2026-05-23 22:42:48 INFO research_news.llm.pipeline: scoring batch 86/89 (8 papers) ...
2026-05-23 22:43:05 INFO research_news.llm.pipeline: score batch 86: parsed 8 scores
2026-05-23 22:43:05 INFO research_news.llm.pipeline: scoring batch 87/89 (8 papers) ...
2026-05-23 22:43:13 INFO research_news.llm.pipeline: score batch 87: parsed 8 scores
2026-05-23 22:43:13 INFO research_news.llm.pipeline: scoring batch 88/89 (8 papers) ...
2026-05-23 22:43:24 INFO research_news.llm.pipeline: score batch 88: parsed 8 scores
2026-05-23 22:43:24 INFO research_news.llm.pipeline: scoring batch 89/89 (8 papers) ...
2026-05-23 22:43:36 INFO research_news.llm.pipeline: score batch 89: parsed 8 scores
2026-05-23 22:43:36 INFO research_news.llm.pipeline: score distribution: min=0.0 max=9.0 mean=2.5  (matched 712/712 papers)
2026-05-23 22:43:36 INFO research_news.journals: summarizing 712 papers (model=glm-5.1) ...
2026-05-24 00:07:25 WARNING research_news.llm.pipeline: summary parse failed for 10.1093/mnras/stag768, retrying LLM call
2026-05-24 00:07:31 WARNING research_news.llm.pipeline: summary retry also failed for 10.1093/mnras/stag768: no parseable JSON found: line 1 column 1 (char 0)
2026-05-24 01:09:01 WARNING research_news.llm.pipeline: summary parse failed for 10.1093/mnras/stag731, retrying LLM call
2026-05-24 02:07:51 INFO research_news.score_log: appended 712 scored papers to data\llm_scores.jsonl
2026-05-24 02:07:51 INFO research_news.journals: saving 66 journal highlights (PDF + manifest)
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae25eb (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag791 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag724 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag577 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae3716 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag878 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag575 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag779 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag675 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag648 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag628 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag576 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag615 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag601 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae619f (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae6069 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae4fb8 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae0e71 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ad7d07 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae14f0 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae0472 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/adf842 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/adea39 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/add897 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/add88c (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag121 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag799 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag764 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag750 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag736 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag637 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag640 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag554 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.1093/mnras/stag564 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae6117 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae64e4 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae4ed2 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae4ed5 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae4a24 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae497e (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae4b3c (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae43c2 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae4340 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae3dea (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae3750 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae3149 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae3088 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae2d16 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae2ff5 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae2099 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae1f10 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae1e7f (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae112f (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae12f1 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae0b6b (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae13a2 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae04cc (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/ae0189 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/adfcbe (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/adfa26 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/adf42d (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/aded89 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/aded16 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/adec9d (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/addf3a (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: no PDF source for 10.3847/1538-4365/add481 (source=crossref) — skipping
2026-05-24 02:07:51 INFO research_news.highlights: highlights manifest: 213 total entries (66 new)
2026-05-24 02:07:51 INFO research_news.journals: generating deep-read report for 66 journal papers ...
2026-05-24 02:07:51 INFO research_news.deep_read: deep reading 1/66: 10.3847/1538-4365/ae25eb
2026-05-24 02:07:51 INFO research_news.deep_read: no PDF text for 10.3847/1538-4365/ae25eb — falling back to abstract
2026-05-24 02:08:17 INFO research_news.deep_read: deep reading 2/66: 10.1093/mnras/stag791
2026-05-24 02:08:17 INFO research_news.deep_read: no PDF text for 10.1093/mnras/stag791 — falling back to abstract
2026-05-24 02:08:42 INFO research_news.deep_read: deep reading 3/66: 10.1093/mnras/stag724
2026-05-24 02:08:42 INFO research_news.deep_read: no PDF text for 10.1093/mnras/stag724 — falling back to abstract
2026-05-24 02:09:01 INFO research_news.deep_read: deep reading 4/66: 10.1093/mnras/stag577
2026-05-24 02:09:01 INFO research_news.deep_read: no PDF text for 10.1093/mnras/stag577 — falling back to abstract
2026-05-24 02:09:19 INFO research_news.deep_read: deep reading 5/66: 10.3847/1538-4365/ae3716
2026-05-24 02:09:19 INFO research_news.deep_read: no PDF text for 10.3847/1538-4365/ae3716 — falling back to abstract
